energy(keV),eff area(cm^2)
3.68000,7.209186098860552e-21
3.69000,1.044333540504813e-20
3.70000,1.509882408234447e-20
3.71000,2.174808970720706e-20
3.72000,3.119999660596457e-20
3.73000,4.465283960004490e-20
3.74000,6.356738366311260e-20
3.75000,9.034608784652826e-20
3.76000,1.278665723576311e-19
3.77000,1.802127991161540e-19
3.78000,2.534872314332082e-19
3.79000,3.547784607347442e-19
3.80000,4.955199007231200e-19
3.81000,6.903317153225656e-19
3.82000,9.573495047402740e-19
3.83000,1.325881751953291e-18
3.84000,1.827640494820052e-18
3.85000,2.512587649638849e-18
3.86000,3.446205742851405e-18
3.87000,4.706201049507583e-18
3.88000,6.418021924593698e-18
3.89000,8.718658173406529e-18
3.90000,1.180082002229756e-17
3.91000,1.596035885505310e-17
3.92000,2.149388929149663e-17
3.93000,2.888111850470305e-17
3.94000,3.871209209675701e-17
3.95000,5.167642368657809e-17
3.96000,6.889390232912877e-17
3.97000,9.152116370536766e-17
3.98000,1.211721682128041e-16
3.99000,1.603082483000266e-16
4.00000,2.113165521968393e-16
4.01000,2.780186064120606e-16
4.02000,3.650157685787032e-16
4.03000,4.774423863835209e-16
4.04000,6.236482592177623e-16
4.05000,8.124130572338182e-16
4.06000,1.054490069713186e-15
4.07000,1.368080261343836e-15
4.08000,1.768910221294176e-15
4.09000,2.280451171309586e-15
4.10000,2.936648821136557e-15
4.11000,3.769915012817249e-15
4.12000,4.829338200730640e-15
4.13000,6.178778829070588e-15
4.14000,7.879425569556762e-15
4.15000,1.003191775441332e-14
4.16000,1.274595887424703e-14
4.17000,1.614275323293426e-14
4.18000,2.043202357427918e-14
4.19000,2.580105452789916e-14
4.20000,3.248077184716982e-14
4.21000,4.087373690529536e-14
4.22000,5.129238986306906e-14
4.23000,6.418022060426780e-14
4.24000,8.023605146708590e-14
4.25000,1.000170646825473e-13
4.26000,1.243726836600769e-13
4.27000,1.545495684462514e-13
4.28000,1.915079197938025e-13
4.29000,2.368140843086665e-13
4.30000,2.926533989023752e-13
4.31000,3.606936505870617e-13
4.32000,4.437569147836976e-13
4.33000,5.455230730000202e-13
4.34000,6.688556721651777e-13
4.35000,8.186880928707848e-13
4.36000,1.001031701846816e-12
4.37000,1.220876948319923e-12
4.38000,1.486686702755719e-12
4.39000,1.808333919626863e-12
4.40000,2.194330909510973e-12
4.41000,2.659094981758575e-12
4.42000,3.218744704482945e-12
4.43000,3.886819552225209e-12
4.44000,4.686983445318304e-12
4.45000,5.646256421132139e-12
4.46000,6.786113884491056e-12
4.47000,8.144651527317114e-12
4.48000,9.766475722449947e-12
4.49000,1.168498338772114e-11
4.50000,1.395968623751336e-11
4.51000,1.666264060622683e-11
4.52000,1.984558635438778e-11
4.53000,2.360019663538513e-11
4.54000,2.805176018871158e-11
4.55000,3.327845746340247e-11
4.56000,3.941066980667945e-11
4.57000,4.665251031960242e-11
4.58000,5.511240517147839e-11
4.59000,6.498433910344768e-11
4.60000,7.661366956992111e-11
4.61000,9.013247004281305e-11
4.62000,1.058308839936196e-10
4.63000,1.242473289631426e-10
4.64000,1.456059314992425e-10
4.65000,1.703136806633473e-10
4.66000,1.991422333060871e-10
4.67000,2.325145340988272e-10
4.68000,2.709798441407566e-10
4.69000,3.156032189270519e-10
4.70000,3.672313233872549e-10
4.71000,4.264659195451865e-10
4.72000,4.947533166575721e-10
4.73000,5.735800277173424e-10
4.74000,6.638136048894951e-10
4.75000,7.672108443093339e-10
4.76000,8.865365505401216e-10
4.77000,1.022685577064272e-09
4.78000,1.177795348192801e-09
4.79000,1.356360024695595e-09
4.80000,1.559579877448471e-09
4.81000,1.789984810956217e-09
4.82000,2.053471396166467e-09
4.83000,2.353243207990459e-09
4.84000,2.692573561612276e-09
4.85000,3.078330931579329e-09
4.86000,3.517279568339705e-09
4.87000,4.012734520568390e-09
4.88000,4.571855370987258e-09
4.89000,5.209171982710429e-09
4.90000,5.926525938834143e-09
4.91000,6.731421617117260e-09
4.92000,7.644011525078734e-09
4.93000,8.671171677302143e-09
4.94000,9.822416564467094e-09
4.95000,1.111766100860525e-08
4.96000,1.257703554617460e-08
4.97000,1.420835674940712e-08
4.98000,1.603021489204340e-08
4.99000,1.808679631103507e-08
5.00000,2.037999891514355e-08
5.01000,2.293097580136946e-08
5.02000,2.579019718752279e-08
5.03000,2.898256163277649e-08
5.04000,3.252849648097442e-08
5.05000,3.647330899668592e-08
5.06000,4.089325857537234e-08
5.07000,4.579116312432137e-08
5.08000,5.121271815648576e-08
5.09000,5.726343882749816e-08
5.10000,6.397111687804979e-08
5.11000,7.136151807542504e-08
5.12000,7.954439657083153e-08
5.13000,8.864797702745427e-08
5.14000,9.867755128226517e-08
5.15000,1.097155974040970e-07
5.16000,1.219914601929839e-07
5.17000,1.355344719753130e-07
5.18000,1.504155923958530e-07
5.19000,1.668015735168023e-07
5.20000,1.849180023085694e-07
5.21000,2.047286463657880e-07
5.22000,2.264149408134261e-07
5.23000,2.503196390598486e-07
5.24000,2.765201513453818e-07
5.25000,3.051440842736408e-07
5.26000,3.364536020097415e-07
5.27000,3.709529115319732e-07
5.28000,4.085687030242884e-07
5.29000,4.495452456429497e-07
5.30000,4.945648314696989e-07
5.31000,5.437434617597692e-07
5.32000,5.972179922254188e-07
5.33000,6.553147296050838e-07
5.34000,7.192642107513900e-07
5.35000,7.887267626502090e-07
5.36000,8.640711356459376e-07
5.37000,9.460630296087240e-07
5.38000,1.035587698480671e-06
5.39000,1.132522242590557e-06
5.40000,1.237395700498905e-06
5.41000,1.351404669107473e-06
5.42000,1.475084110137008e-06
5.43000,1.608631664471622e-06
5.44000,1.752724824464247e-06
5.45000,1.909924553780700e-06
5.46000,2.079427922745014e-06
5.47000,2.262015714862613e-06
5.48000,2.459370815160979e-06
5.49000,2.673981878141365e-06
5.50000,2.904864216334256e-06
5.51000,3.150865919140640e-06
5.52000,3.416853228647389e-06
5.53000,3.703844541425679e-06
5.54000,4.011675707130654e-06
5.55000,4.341581873114043e-06
5.56000,4.698325413683172e-06
5.57000,5.081377589029396e-06
5.58000,5.491366123211681e-06
5.59000,5.929808152156418e-06
5.60000,6.404164534570465e-06
5.61000,6.909763809520772e-06
5.62000,7.449596841271769e-06
5.63000,8.026911135665065e-06
5.64000,8.649200773489161e-06
5.65000,9.312853623822213e-06
5.66000,1.002005866128731e-05
5.67000,1.077644602334852e-05
5.68000,1.158861509886981e-05
5.69000,1.245335624647185e-05
5.70000,1.337383609868817e-05
5.71000,1.435518471407634e-05
5.72000,1.540495236554756e-05
5.73000,1.652009748930031e-05
5.74000,1.770385670029963e-05
5.75000,1.896886875072609e-05
5.76000,2.031797342410984e-05
5.77000,2.174856617173066e-05
5.78000,2.326444415553908e-05
5.79000,2.488296686744738e-05
5.80000,2.660431789667494e-05
5.81000,2.842092241154222e-05
5.82000,3.034213045220438e-05
5.83000,3.239363257982502e-05
5.84000,3.457141269821973e-05
5.85000,3.687261095832339e-05
5.86000,3.930263256234718e-05
5.87000,4.189280582861628e-05
5.88000,4.463865082757920e-05
5.89000,4.753632500852825e-05
5.90000,5.059196054825577e-05
5.91000,5.383106942124171e-05
5.92000,5.725552692882432e-05
5.93000,6.086200428904389e-05
5.94000,6.465844318915613e-05
5.95000,6.868693587792408e-05
5.96000,7.294112572592044e-05
5.97000,7.741470413241331e-05
5.98000,8.211675746658498e-05
5.99000,8.709677111194476e-05
6.00000,9.235249376701284e-05
6.01000,9.785429785284417e-05
6.02000,0.0001036279031337083
6.03000,0.0001097265074478688
6.04000,0.0001161592928951662
6.05000,0.0001229035071027272
6.06000,0.0001299713637023889
6.07000,0.0001374191011095445
6.08000,0.0001452788112482095
6.09000,0.0001535083263731506
6.10000,0.0001621217103625873
6.11000,0.0001711418644909094
6.12000,0.0001806657897592182
6.13000,0.0001906239603337588
6.14000,0.0002010312323019591
6.15000,0.0002119234461224753
6.16000,0.0002234322740307792
6.17000,0.0002354523784255059
6.18000,0.0002479989700115251
6.19000,0.0002610910911630171
6.20000,0.0002749070708384237
6.21000,0.0002892872720448551
6.22000,0.0003042767746544050
6.23000,0.0003198976421848049
6.24000,0.0003363186102328872
6.25000,0.0003534880825858443
6.26000,0.0003713658092710236
6.27000,0.0003899866862537406
6.28000,0.0004094811876321230
6.29000,0.0004299041319049900
6.30000,0.0004511463347995043
6.31000,0.0004731687993077216
6.32000,0.0004961038533599114
6.33000,0.0005201911464533227
6.34000,0.0005452147104736656
6.35000,0.0005712022406249434
6.36000,0.0005981793039240142
6.37000,0.0006264876720902766
6.38000,0.0006559183636430273
6.39000,0.0006864506049717190
6.40000,0.0007181148293366310
6.41000,0.0007510619130614980
6.42000,0.0007854221051391258
6.43000,0.0008210270751521674
6.44000,0.0008579120584710566
6.45000,0.0008961790745417241
6.46000,0.0009362519907221347
6.47000,0.0009777441027504755
6.48000,0.001020724615968525
6.49000,0.001065192381473837
6.50000,0.001111616190873738
6.51000,0.001159851506980421
6.52000,0.001209733511530581
6.53000,0.001261297773145108
6.54000,0.001314818224396647
6.55000,0.001370643802224106
6.56000,0.001428325452644336
6.57000,0.001487900504064665
6.58000,0.001549419532292463
6.59000,0.001613581520894215
6.60000,0.001679938942041437
6.61000,0.001748229128893005
6.62000,0.001818677443514843
6.63000,0.001891662017193812
6.64000,0.001967552820376589
6.65000,0.002045796763466033
